Sector name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
,1569295726.3,226728016,325823058,376067952.2,334142962.7,876654893.4,1050874897.9,1094658786.35,2143256542.4,2724446660.94,2648847267.82,2207424987.24,3638966423.82,3915507188.24,3002206275.04,3112752370.87,3498292612.49,4820230456.67,3509222928.59,3696731852.81,1789806799.22,2491369846.72,1801713620.2,338204112,350441089,245796928,193049672,196180762,0
Action Relating to Debt,37385184.2,1163725.2,4273524.4,815647.1,18713981.2,7588768.8,6565794.7,14243518.2,9879124.8,68703604,20637068.4,4388776.4,12843492.6,-1115000,280000,-8442690,4293870,0,0,1.5e+08,42376,157624,0,0,0,0,0,0,0
Administrative Costs of Donors,0,0,0,0,0,0,0,78076,87264,486103,92128112,87980445,95209725,109925040,164576780.83,200291645,271351106,311768476,165089909.34,137168553.4,6211540,116827731,82234606,53300000,53300000,53300000,53300000,106800000,0
"Agriculture, Forestry, Fishing",2559362.55,3171786.5,6174612,13835677.65,17642317.12,30909121.36,33433489.43,79425547.94,113989995.42,112791143.07,128988714.06,85143257.5,254649030.55,220277363.61,247527086.6,236968689.7334,249135864.3243,221367387.365,242406740.37721,176321338.15,162760919.16,130662843.86,82312931.79,41791840.5,23849595.55,8234040.1,0,446228.4,0
Banking & Financial Services,4430816.75,7488261.1,9118879.5,11046848.25,36497962.55,48626012.45,72466179.71,85985507.06,108265293.7,108993880.6,100042978.57,59737974.36,135168789.6,118527894.66,444391264.55,340417561.48,366061464.25,658798060.48,831801088.515,567519645.06,749439347.01,180272928.12,117361353.3,89416449.1,46050777.6,1433942.7,0,0,0
Business & Other Services,2790328.2,1674061.6,1423562.2,3712308.13,4440953.27,3386060.89,8816507.53,14877597.47,23251052.64,42317894.27,38301447.8,30683761.92,37548109.32,50927718.71,64618237.29,83516853.61,58395037.265,121613895.47,116856021.02,40642814.05,61106737.69,40206017.9,26016603.96,7681354.8,6819825.5,3248927.2,0,0,0
Communications,2988555.95,1756242.81,1632520.92,6223310.68,4019343.7,9251959.45,10385336.37,16210831.9,19842920.49,16902835.13,13865217.95,2043936.65,3037289.66,2578539.79,2643751.68,6026736.46,4199222.42,10793565.76,19909086.1,11565592.45,43336209.44,30668359.29,23267976.1,2204110.5,0,0,0,0,0
Development Food Assistance,0,556332,0,11317491.97,23287690.49,14552418.41,20884517.6,39261757.78,28034774.87,53385588.75,46442419.2,33868320.9,58520017.55,18575668.39,41505806.3,63565878.15,53725618.03,36108458.18,70612018.57,67433839.74,32040413,21458553.62,16074425.9,651112.82,0,0,0,0,0
Disaster Prevention & Preparedness,1e+06,0,1500000,750181,2567964.2,2737107.5,5972094.4,8568581.5,14693380.2,3203854.8,9895957.35,5961419.36,44795772.75,52576285.74,85056057.6,88254087.34,158951764.57,81572272.2,107014738.02,132232354.88,67039333.2,20691520.41,5888875.84,658351.05,31400000,1e+05,0,0,0
Education,10362709.75,4005859.99,16779359.89,29016288.43,93621384.96,207329499.31,202379058.72,361473662.78,393630234.4,564177389.31,630995792.23,414903227.01,822141168.89,684206777.21,562382596.19,767754869.09,598884610.14,579700668.85,657346465.8,575140887.78,413615407.09,219579570.95,107095611.72,75108497.25,70788492.62,32991810,2131920,2253176,0
Emergency Response,0,54771,27647,76993,52758967.2,60471429.9,70014962,192628813.19,388719424.02,407293457.25,319046054.25,302803248.4,689827659.39,1072346781.95,1104384449.08,1162313402.92,1147474874.39,1210643547.84,1361099500.25,1268656881.91,589658946.91,177357998.84,24008505.56,45487921.92,4802563,0,220801,0,0
Energy,2830254.95,1712709.95,1687004.1,2248953.2,19097167.94,25954317.05,24704659.53,24714588.82,36096255.76,28385622.76,29401897.9,26547532.68,89675427.38,70597237.8,113204366.16,75237124.076,81822455.491,139140649.81,173914209.990526,73192048.21,154974515.13,108121994,81677388.9,18911168.95,8232696.64,1200000,1200000,1503886.2,0
General Budget Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355032,0,0,0,0,0,0,0,0,0,0,0,0
General Environment Protection,44394.75,143188.45,1283476.4,3907396.2,7482187.7,20117745.71,30067163.68,58324075.48,84051632.68,93474782.18,105000197.74,87796816.27,187626486.49,212829566.05,258936381.25,227091662.23,241458538.7984,203020119.654,204600809.15895,186982788.1,170261206.38,153911227.91,90052746.73,51032500.95,28792249.6,8121497.02,2828289.1,34897.2,49842.9
Government & Civil Society,24419076.25,23996551.87,46328273.11,80121242.83,181217867.21,246653741.62,380984853.43,475422014.54,710101325.63,677698630.72,769161380.78,509383952.79,94383004.41,1329117981.89,706368345.93,936814771.965,762862728.514,1081917458.461,1268115185.301,1111154646.64393,605228107.26,387036320.75,220205676.67,96004359.94,36889364.57,38034383.46,6377835,6759528,0
Health,5341011.3,12571556.8,19474280.91,27557909.31,114283304.81,169200968.48,248513878.1,344862262.22,444803155.43,469097106.56,622836674.21,505079225.48,897708112.81,699057839.18,597520208.72,688380961.27,702471717.84,639548542.89,672259843.71,1223723154.97,692219030.9,373094019.58,258821750.74,79844592.07,39326679.8,5383766.9,2133733.3,4803982.8,116300.1
"Industry, Mining, Construction",52266712.2,4908504.74,6854716.5,7711010.28,18196583.1,23476996.75,32299856.87,47987864.5,57484011.15,70692833.09,63577392.8,38017934.07,48869561.26,81952724.84,224464882.95,216185475.795,235023671.253,358310906.05,396091171.0964,327589181.976,407047221.02,184932611.05,117705542.29,37868859.2,11352109,5005359.7,2e+05,1144000.4,0
Other Multisector,1410762.75,658513.44,2341025.51,5944216.78,15549269.83,45787800.39,103007853.58,203382907.21,263155388.35,298128600.79,313862900.62,222135791.36,415530219.96,441356829.38,481137470.03,552458720.69,386000572.1073,397866577.15,497276435.663106,441879797.812,284272849.03,235389848.57,228157608.16,47262721.45,20599703.51,6856319.86,1404306,691182,0
Other Social Infrastructure & Services,3607029.7,1846094.3,1779295.34,16822884.84,46734065.68,42159201.68,71875014.02,107310489.58,225561254.98,293206706.6,235584594.18,148944185.96,238598152.4,223478503.95,285177842.44,359054318.27,182916091.63,192163757.09,212728622.94,233569849.22,184492687.14,119357993.54,89780274.54,27868778.35,24543228.76,15912279.72,4010113.7,501295.4,0
Population Policies/Programmes & Reproductive Health,13035993.7,16093260.2,25807566.01,36286482.87,82425757.73,109403248.9,161431774.22,261275793.07,284550716.81,300926723.35,397041075.51,255565781.06,419123485.62,483216004.54,331393415.86,299575760.95,375183305.41,346476761.62,457366680.23,318347845.37,454812228.77,242726016.75,169011625.99,127431130.2,57374210.19,903196,0,512889.2,0
Reconstruction Relief & Rehabilitation,0,0,0,0,2777921.6,2462041.7,2914210.3,12757748.2,46208682.17,20966315.5,48434204.75,6612875.14,12602941.7,49017304.49,69164170.5,42892216.56,92253552.01,70052133.32,48230945.79,65726505.57,29424284.76,16832280.66,10385870.8,0,0,0,0,0,0
Refugees in Donor Countries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trade Policies & Regulations,-25.5,789200.7,1483269.1,4488743.29,5929006.59,19909889.15,20407197.83,29194533.93,47111604.53,64357588.2,36670497.45,27854670.05,61399576.03,55478767.32,70912183.83,79678292.81,79324451.989,77119022.13,115724303.94,63105791.3,108471563.48,81560221.37,38596546.55,24315553.7,12074495.1,9190493.5,0,0,0
Transport & Storage,8137853.8,1762475.54,4061269.08,17617084.82,16513261.5,9462474.97,19561915.32,41783642.06,101235153.41,86923269.85,74926621.52,42321703.85,93405643.5,69740296.74,111398078.91,109309802.24,173309642.88,129486150.73,81483451.3,38207341.01,97117891.14,92188073.52,53990535.98,10815142.3,0,0,0,0,0
Water Supply & Sanitation,6104500.5,4941632.8,7680710.9,12327250.25,31422039.68,41474894.58,56824947.96,61698048.62,95898881.29,109887392.05,140088055.95,96515106.37,178275118.42,200072115.08,203039769.21,182630256.91,186176114.975,197725740.015,182491857.54421,133729573.64,168541260.12,65817152.54,38465921.72,26035510.35,16266814.65,17074648.1,4e+05,501295.4,0
